PilaPrinceton, PilaDeCola, ColaPrinceton, ColaDePilas
"0,000494","0,050406","0,000102","0,000143"
"0,000502","0,051323","0,000101","0,000145"
"0,000516","0,050153","0,000096","0,000145"
"0,000494","0,052196","0,098140","0,000144"
"0,000490","0,051167","0,000096","0,000152"
"0,000518","0,051577","0,000100","0,000152"
"0,000686","0,051378","0,000101","0,000144"
"0,000486","0,055745","0,000102","0,000142"
"0,000510","0,052993","0,000102","0,000145"
"0,000528","0,054411","0,000102","0,000181"
"0,000730","0,054148","0,000099","0,000146"
"0,000589","0,053560","0,000097","0,000142"
"0,000596","0,056785","0,000100","0,000146"
"0,000533","0,052772","0,000098","0,000140"
"0,000508","0,049741","0,000101","0,000138"
"0,000494","0,050424","0,000097","0,000148"
"0,000506","0,050202","0,000095","0,000142"
"0,000495","0,049923","0,000097","0,000147"
"0,000505","0,050730","0,000298","0,000145"
"0,000534","0,051479","0,000096","0,000143"
"0,000503","0,055219","0,000188","0,000146"
"0,000710","0,053595","0,000101","0,000145"
"0,000681","0,054642","0,000102","0,000146"
"0,000534","0,050740","0,000101","0,000149"
"0,000575","0,051048","0,000101","0,000149"
"0,000526","0,053180","0,000110","0,000149"
"0,000548","0,052250","0,000143","0,000224"
"0,000615","0,061049","0,000204","0,000291"
"0,001044","0,061991","0,000104","0,000147"
"0,000543","0,052021","0,000103","0,000152"
"0,000519","0,051941","0,000098","0,000146"
"0,000504","0,051911","0,000113","0,000147"
"0,000511","0,051836","0,000099","0,000154"
"0,000517","0,051359","0,097880","0,000148"
"0,000517","0,051871","0,000105","0,000152"
"0,000525","0,052998","0,000107","0,000170"
"0,000551","0,053929","0,000104","0,000145"
"0,000625","0,055824","0,000099","0,000144"
"0,000548","0,049722","0,000098","0,000143"
"0,000487","0,050046","0,000104","0,000144"
"0,000516","0,051418","0,000105","0,000143"
"0,000513","0,052843","0,000204","0,000302"
"0,000604","0,057195","0,000101","0,000151"
"0,000532","0,060196","0,000101","0,000141"
"0,000539","0,050400","0,000094","0,000145"
"0,000540","0,050337","0,000096","0,000148"
"0,000498","0,051426","0,000096","0,000155"
"0,000546","0,050552","0,000096","0,000141"
"0,000502","0,055069","0,000108","0,000236"
"0,000580","0,054912","0,000108","0,000147"
"0,000550","0,053396","0,000099","0,000143"
"0,000532","0,049839","0,000097","0,000140"
"0,000635","0,049894","0,000096","0,000142"
"0,000524","0,049977","0,000096","0,000142"
"0,000523","0,051770","0,000098","0,000137"
"0,000536","0,052678","0,000181","0,000289"
"0,001146","0,066754","0,000101","0,000158"
"0,000537","0,079577","0,000099","0,000150"
"0,000503","0,054701","0,000116","0,000271"
"0,000545","0,068194","0,000105","0,000167"
"0,000524","0,067937","0,099270","0,000150"
"0,000524","0,059733","0,000114","0,000211"
"0,000606","0,074735","0,000176","0,000284"
"0,000925","0,075095","0,000144","0,000296"
"0,000918","0,062718","0,000112","0,000149"
"0,000520","0,066141","0,000103","0,146900"
"0,000562","0,055157","0,000098","0,000147"
"0,000570","0,052691","0,000097","0,000150"
"0,000524","0,050932","0,000102","0,000144"
"0,000533","0,057956","0,000201","0,000265"
"0,001047","0,056694","0,000114","0,000152"
"0,000521","0,052930","0,000094","0,000142"
"0,000754","0,052999","0,000111","0,000222"
"0,000597","0,052896","0,000130","0,000264"
"0,000525","0,052177","0,000096","0,000147"
"0,000585","0,052582","0,000129","0,000147"
"0,000566","0,051168","0,000104","0,000145"
"0,000501","0,050673","0,000110","0,000165"
"0,000495","0,051516","0,000101","0,000143"
"0,000499","0,052135","0,000102","0,000145"
"0,000594","0,051783","0,000097","0,000152"
"0,000502","0,053563","0,000100","0,000142"
"0,000501","0,055665","0,000177","0,000256"
"0,000502","0,055272","0,000099","0,000148"
"0,000498","0,053646","0,000097","0,000150"
"0,000489","0,057999","0,000160","0,000283"
"0,000515","0,071171","0,000190","0,000156"
"0,000513","0,054961","0,000100","0,000344"
"0,000629","0,053840","0,000095","0,000147"
"0,000778","0,053278","0,000104","0,000153"
"0,544800","0,053373","0,000129","0,000164"
"0,000548","0,055703","0,000098","0,000145"
"0,000500","0,051954","0,000100","0,000142"
"0,000492","0,052435","0,000106","0,000146"
"0,000507","0,052600","0,000103","0,000147"
"0,000527","0,053034","0,095530","0,000149"
"0,000696","0,052421","0,000120","0,000209"
"0,000750","0,057707","0,000100","0,000142"
"0,000523","0,055274","0,000093","0,000147"
"0,000548","0,058755","0,000169","0,000273"
